BJD - 2457000,PDC_SAP flux,error,Quality Flag
1411.526861,11109097,359.33768,0
1411.52825,11110317,359.38126,0
1411.529639,11111559,359.36868,0
1411.531028,11110270,359.38696,0
1411.532417,11109456,359.38055,0
1411.533806,11108690,359.32382,0
1411.535195,11108649,359.34137,0
1411.536584,11113803,359.42343,0
1411.537973,11111039,359.38748,0
1411.539362,11112453,359.37738,0
1411.540751,11114926,359.42795,0
1411.54214,11108422,359.32318,0
1411.543529,11109417,359.3805,0
1411.544918,11112180,359.37167,0
1411.546306,11111836,359.3596,0
1411.547695,11110916,359.37244,0
1411.549084,11112606,359.36212,0
1411.550473,11110830,359.33875,0
1411.551862,11112496,359.39346,0
1411.553251,11109530,359.37012,0
1411.55464,11112244,359.34546,0
1411.556029,11113252,359.39886,0
1411.557418,11108772,359.33398,0
1411.558807,11110139,359.3838,0
1411.560196,11109553,359.3122,0
1411.561585,11113697,359.42645,0
1411.562974,11109384,359.3397,0
1411.564363,11109106,359.36844,0
1411.565752,11108751,359.31204,0
1411.567141,11112936,359.40915,0
1411.568529,11109528,359.3054,0
1411.569918,11113073,359.39957,0
1411.571307,11110281,359.34695,0
1411.572696,11109021,359.32922,0
1411.574085,11113374,359.42645,0
1411.575474,11108675,359.31918,0
1411.576863,11111980,359.34253,0
1411.578252,11109805,359.3393,0
1411.579641,11113319,359.37772,0
1411.58103,11106228,359.28134,0
1411.582419,11113519,359.40094,0
1411.583808,11109293,359.35565,0
1411.585197,11107615,359.31192,0
1411.586586,11109543,359.30927,0
1411.587975,11105781,359.313,0
1411.589364,11106280,359.30212,0
1411.590752,11111683,359.41272,0
1411.592141,11112007,359.40945,0
1411.59353,11108428,359.32263,0
1411.594919,11108929,359.3431,0
1411.596308,11106131,359.31458,0
1411.597697,11108393,359.3411,0
1411.599086,11108069,359.36588,0
1411.600475,11109249,359.35178,0
1411.601864,11108669,359.3129,0
1411.603253,11106481,359.32727,0
1411.604642,11109331,359.38235,0
1411.606031,11107712,359.33282,0
1411.60742,11108487,359.32733,0
1411.608809,11106293,359.31262,0
1411.610198,11113589,359.4449,0
1411.611587,11103512,359.254,0
1411.612975,11107498,359.3218,0
1411.614364,11110481,359.36383,0
1411.615753,11111504,359.3966,0
1411.617142,11109368,359.34695,0
1411.618531,11105702,359.2898,0
1411.61992,11108390,359.35193,0
1411.621309,11110253,359.3824,0
1411.622698,11108707,359.32477,0
1411.624087,11113791,359.39514,0
1411.625476,11102975,359.26352,0
1411.626865,11109887,359.364,0
1411.628254,11107194,359.32697,0
1411.629643,11106135,359.29675,0
1411.631032,11112017,359.4005,0
1411.632421,11108938,359.36044,0
1411.63381,11107994,359.34482,0
1411.635198,11106663,359.29587,0
1411.636587,11109964,359.3706,0
1411.637976,11109037,359.36804,0
1411.639365,11103966,359.2849,0
1411.640754,11107819,359.3277,0
1411.642143,11109919,359.39304,0
1411.643532,11108869,359.33945,0
1411.644921,11106215,359.2824,0
1411.64631,11107368,359.33282,0
1411.647699,11110569,359.3417,0
1411.649088,11108854,359.35104,0
1411.650477,11107313,359.31137,0
1411.651866,11109042,359.34122,0
1411.653255,11111075,359.39728,0
1411.654644,11107733,359.31314,0
1411.656033,11107390,359.33023,0
1411.657421,11108933,359.3498,0
1411.65881,11108555,359.3554,0
1411.660199,11107114,359.29593,0
1411.661588,11111611,359.38315,0
1411.662977,11108622,359.3546,0
1411.664366,11107375,359.3237,0
1411.665755,11110820,359.40625,0
1411.667144,11112123,359.3739,0
1411.668533,11109564,359.34988,0
1411.669922,11106974,359.27945,0
1411.671311,11107582,359.3323,0
1411.6727,11108679,359.33304,0
1411.674089,11110121,359.39276,0
1411.675478,11106607,359.2961,0
1411.676867,11106956,359.30545,0
1411.678256,11113091,359.38333,0
1411.679644,11104782,359.29456,0
1411.681033,11110133,359.36655,0
1411.682422,11109708,359.3289,0
1411.683811,11108685,359.32657,0
1411.6852,11109589,359.3404,0
1411.686589,11111753,359.38364,0
1411.687978,11130795,359.24585,512
1411.689367,11111656,359.37296,0
1411.690756,11109182,359.3463,0
1411.692145,11109150,359.3528,0
1411.693534,11108576,359.30374,0
1411.694923,11106721,359.3255,0
1411.696312,11110281,359.35004,0
1411.697701,11109353,359.33734,0
1411.69909,11108670,359.323,0
1411.700479,11104465,359.25848,0
1411.701867,11112224,359.41016,0
1411.703256,11107975,359.30637,0
1411.704645,11110742,359.36383,0
1411.706034,11106340,359.29773,0
1411.707423,11130354,359.3693,512
1411.708812,11108335,359.30862,0
1411.710201,11112754,359.3891,0
1411.71159,11107044,359.2714,0
1411.712979,11110474,359.35773,0
1411.714368,11110996,359.34464,0
1411.715757,11101166,359.19608,0
1411.717146,11110618,359.36057,0
1411.718535,11107879,359.31317,0
1411.719924,11109686,359.36377,0
1411.721313,11106831,359.2886,0
1411.722702,11109247,359.32913,0
1411.72409,11106718,359.31992,0
1411.725479,11113559,359.39706,0
1411.726868,11110456,359.3481,0
1411.728257,11105888,359.26624,0
1411.729646,11110698,359.37515,0
1411.731035,11108285,359.31683,0
1411.732424,11106915,359.29626,0
1411.733813,11107433,359.31223,0
1411.735202,11109669,359.3608,0
1411.736591,11109438,359.31952,0
1411.73798,11109123,359.3091,0
1411.739369,11106589,359.30685,0
1411.740758,11109520,359.34738,0
1411.742147,11111112,359.31726,0
1411.743536,11106549,359.26636,0
1411.744925,11107048,359.3041,0
1411.746313,11107605,359.29492,0
1411.747702,11110090,359.37308,0
1411.749091,11105189,359.24924,0
1411.75048,11112656,359.4045,0
1411.751869,11105545,359.2875,0
1411.753258,11108740,359.3231,0
1411.754647,11103422,359.26505,0
1411.756036,11108030,359.32578,0
1411.757425,11104352,359.23514,0
1411.758814,11104370,359.2516,0
1411.760203,11107172,359.32108,0
1411.761592,11107071,359.29034,0
1411.762981,11106533,359.3159,0
1411.76437,11103933,359.25623,0
1411.765759,11106298,359.30566,0
1411.767148,11106508,359.32507,0
1411.768536,11107798,359.3217,0
1411.769925,11106654,359.30524,0
1411.771314,11104522,359.30078,0
1411.772703,11107337,359.322,0
1411.774092,11109230,359.33945,0
1411.775481,11107482,359.30978,0
1411.77687,11129224,359.33716,512
1411.778259,11103789,359.24472,0
1411.779648,11109735,359.3693,0
