time, flux, empty
3272.113550328, 0.999987514,
3272.133985825, 0.999931924,
3272.154421522, 1.000025846,
3272.174857119, 0.999814648,
3272.195292616, 1.000152283,
3272.236163911, 0.999766413,
3272.256599509, 0.999803733,
3272.277035107, 0.999857665,
3272.297470705, 0.999773057,
3272.317906304, 0.999382657,
3272.338341902, 0.999597753,
3272.358777501, 0.999755723,
3272.379213200, 0.999546413,
3272.399648799, 0.999413710,
3272.420084298, 0.999520905,
3272.440519997, 0.999444363,
3272.460955597, 0.999562411,
3272.481391096, 0.999400135,
3272.501826796, 0.999328924,
3272.522262396, 0.999339356,
3272.542697896, 0.999326412,
3272.563133597, 0.999312097,
3272.583569197, 0.999222104,
3272.604004798, 0.999208528,
3272.624440399, 0.999158325,
3272.644876000, 0.999079533,
3272.665311601, 0.999061893,
3272.685747202, 0.999176374,
3272.726618405, 0.999075107,
3272.747054007, 0.998875266,
3272.767489609, 0.998792025,
3272.787925211, 0.998991423,
3272.808360814, 0.999030730,
3272.828796516, 0.998737417,
3272.849232019, 0.998956042,
3272.869667621, 0.998761487,
3272.890103324, 0.998709745,
3272.910538927, 0.998572425,
3272.930974431, 0.998560039,
3272.951410134, 0.998604273,
3272.971845738, 0.998618735,
3272.992281242, 0.998453628,
3273.012716945, 0.998409895,
3273.033152550, 0.998379197,
3273.053588254, 0.998365234,
3273.074023758, 0.998298806,
3273.094459363, 0.998293444,
3273.114895067, 0.998221090,
3273.135330572, 0.998256457,
3273.155766177, 0.998147607,
3273.176201882, 0.998194528,
3273.217072993, 0.998231236,
3273.237508699, 0.998148650,
3273.257944205, 0.998120876,
3273.278379911, 0.998193613,
3273.298815517, 0.998143314,
3273.319251023, 0.997998111,
3273.339686730, 0.998053863,
3273.360122236, 0.998046850,
3273.380557843, 0.997998030,
3273.400993550, 0.998057477,
3273.421429057, 0.997927615,
3273.462300372, 0.998043950,
3273.482735979, 0.998047758,
3273.503171587, 0.998048864,
3273.523607195, 0.997982293,
3273.544042803, 0.997995229,
3273.564478511, 0.997951795,
3273.584914019, 0.997916132,
3273.605349628, 0.998016657,
3273.625785336, 0.997975137,
3273.646220845, 0.998029515,
3273.666656454, 0.997982970,
3273.707527672, 0.998093597,
3273.727963381, 0.998041993,
3273.748398991, 0.998114250,
3273.768834501, 0.998144589,
3273.789270210, 0.998087554,
3273.809705820, 0.998169779,
3273.830141331, 0.998061855,
3273.850577041, 0.998200880,
3273.871012651, 0.998029506,
3273.891448262, 0.998102789,
3273.911883872, 0.998160081,
3273.952755194, 0.998127184,
3273.973190706, 0.998217581,
3273.993626317, 0.998219438,
3274.014061928, 0.998275403,
3274.034497540, 0.998201109,
3274.054933152, 0.998415736,
3274.075368864, 0.998388594,
3274.095804376, 0.998364206,
3274.116239988, 0.998342136,
3274.136675700, 0.998450156,
3274.157111213, 0.998388379,
3274.218418051, 0.998547874,
3274.238853764, 0.998547280,
3274.259289377, 0.998649091,
3274.279724891, 0.998685602,
3274.300160604, 0.998669288,
3274.320596218, 0.998682177,
3274.341031732, 0.998759444,
3274.361467446, 0.998738156,
3274.381903060, 0.998837232,
3274.402338774, 0.998765340,
3274.443209903, 0.999016747,
3274.463645617, 0.999379895,
3274.484081132, 0.999252475,
3274.504516747, 0.999335211,
3274.524952462, 0.999186922,
3274.545388077, 0.999196272,
3274.565823593, 0.999225591,
3274.586259308, 0.999347856,
3274.606694924, 0.999399951,
3274.627130540, 0.999375601,
3274.647566156, 0.999435267,
3274.668001772, 0.999465455,
3274.688437388, 0.999455227,
3274.708873004, 0.999532477,
3274.729308521, 0.999567990,
3274.749744237, 0.999619827,
3274.770179854, 0.999658203,
3274.790615371, 0.999702858,
3274.811051088, 0.999686855,
3274.831486705, 0.999731321,
3274.851922423, 0.999797509,
3274.872357940, 0.999795768,
3274.892793558, 0.999823173,
3274.933664793, 0.999938485,
3274.954100411, 1.000017623,
3274.974536130, 0.999996007,
3274.994971648, 1.000045085,
3275.015407266, 1.000037987,
3275.035842985, 1.000087874,
3275.056278503, 1.000086162,
3275.076714122, 1.000086454,
3275.097149841, 1.000111399,
3275.117585460, 1.000108218,
3275.138021080, 1.000160506,
3275.178892318, 1.000391027,
3275.199327938, 1.000366960,
3275.219763558, 1.000432960,
3275.240199178, 1.000504924,
3275.260634898, 1.000547442,
3275.281070418, 1.000507187,
3275.301506038, 1.000496470,
3275.321941759, 1.000553014,
3275.342377279, 1.000586298,
3275.362813000, 1.000565445,
3275.383248521, 1.000705991,
3275.403684142, 1.000664100,
3275.424119863, 1.000731052,
3275.444555384, 1.000683427,
3275.464991005, 1.000710137,
3275.485426727, 1.000723103,
3275.505862248, 1.000831785,
3275.526297870, 1.000823481,
3275.546733592, 1.000855269,
3275.567169114, 1.000761806,
3275.587604836, 1.001003966,
3275.608040458, 1.001129979,
3275.628476081, 1.001467423,
3275.669347326, 1.001196384,
3275.689782949, 1.001079504,
3275.710218572, 1.001174138,
3275.730654195, 1.001145935,
3275.751089818, 1.001117734,
3275.771525541, 1.001231458,
3275.791961064, 1.001174163,
3275.812396788, 1.001157452,
3275.832832412, 1.001266158,
3275.873703659, 1.001179117,
3275.914574807, 1.001482650,
3275.935010532, 1.001358230,
3275.955446156, 1.001442881,
3275.975881681, 1.001385638,
3275.996317405, 1.001360827,
3276.016753030, 1.001392273,
3276.037188755, 1.001373374,
3276.057624280, 1.001326238,
3276.078059905, 1.001452268,
3276.098495530, 1.001285392,
3276.118931156, 1.001421753,
3276.159802407, 1.001530852,
3276.180238033, 1.001417968,
3276.200673659, 1.001475546,
3276.221109285, 1.001513635,
3276.241544911, 1.001482556,
3276.261980637, 1.001312519,
3276.282416263, 1.001377813,
3276.302851790, 1.001318177,
3276.323287516, 1.001385886,
3276.343723143, 1.001376220,
3276.364158670, 1.001302719,
3276.405030024, 1.001422423,
3276.425465551, 1.001340977,
3276.445901278, 1.001287277,
3276.466336906, 1.001313575,
3276.486772633, 1.001412341,
3276.507208161, 1.001257362,
3276.527643789, 1.001212017,
3276.548079517, 1.001285372,
3276.568515045, 1.001283359,
3276.588950673, 1.001164139,
3276.609386401, 1.001252909,
3276.650257558, 1.000770755,
3276.670693287, 1.001258926,
3276.691128815, 1.001215655,
3276.711564544, 1.001164899,
3276.732000173, 1.001246891,
3276.752435802, 1.001218660,
3276.772871432, 1.001302434,
3276.793307061, 1.001242647,
3276.813742690, 1.001199352,
3276.834178320, 1.001232844,
3276.854613949, 1.001225069,
3276.875049479, 1.001182990,
3276.895485209, 1.001231320,
3276.915920839, 1.001154577,
3276.936356569, 1.001189955,
3276.956792099, 1.001187345,
3276.977227730, 1.001226119,
3276.997663460, 1.001218536,
3277.018098991, 1.001168312,
3277.038534621, 1.001291530,
3277.058970352, 1.001185166,
3277.079405883, 1.001111201,
3277.099841514, 1.001234489,
