 MJD (day),     S_index,     Source
47869.8032,0.228,      MW
47896.7651,0.218,      MW
47896.7664,0.219,      MW
47896.7676,0.218,      MW
47900.707,0.222,      MW
47900.7085,0.221,      MW
47900.71,0.221,      MW
47902.708,0.223,      MW
47902.7095,0.224,      MW
47902.7109,0.223,      MW
47910.7458,0.224,      MW
47910.7471,0.225,      MW
47910.7483,0.228,      MW
47928.6826,0.228,      MW
47928.6838,0.232,      MW
47928.6855,0.23,      MW
47933.6611,0.232,      MW
47933.6621,0.231,      MW
47933.6633,0.227,      MW
47942.6702,0.218,      MW
47942.6714,0.22,      MW
47942.6724,0.218,      MW
48166.9692,0.217,      MW
48166.9712,0.223,      MW
48166.9727,0.22,      MW
48187.9224,0.213,      MW
48187.9238,0.218,      MW
48187.9253,0.214,      MW
48192.98,0.207,      MW
48192.9819,0.216,      MW
48192.9834,0.214,      MW
48208.8569,0.217,      MW
48208.8579,0.214,      MW
48208.8594,0.214,      MW
48217.8687,0.217,      MW
48217.8701,0.221,      MW
48217.8711,0.221,      MW
48223.8682,0.207,      MW
48223.8696,0.202,      MW
48223.8711,0.207,      MW
48228.793,0.208,      MW
48228.7944,0.206,      MW
48228.7959,0.212,      MW
48244.7598,0.22,      MW
48244.7612,0.222,      MW
48244.7622,0.22,      MW
48256.7446,0.216,      MW
48256.7461,0.213,      MW
48256.7476,0.214,      MW
48267.7173,0.213,      MW
48267.7188,0.21,      MW
48267.7202,0.214,      MW
48271.7271,0.213,      MW
48271.7285,0.215,      MW
48271.7305,0.213,      MW
48275.7197,0.214,      MW
48275.7212,0.217,      MW
48275.7222,0.218,      MW
48279.7339,0.208,      MW
48279.7358,0.209,      MW
48279.7378,0.206,      MW
48283.6934,0.211,      MW
48283.6953,0.211,      MW
48283.6973,0.207,      MW
48285.7075,0.21,      MW
48285.709,0.206,      MW
48285.71,0.206,      MW
48296.6504,0.207,      MW
48296.6519,0.206,      MW
48296.6528,0.211,      MW
48300.6548,0.201,      MW
48300.6562,0.202,      MW
48300.6582,0.2,      MW
48308.6406,0.213,      MW
48308.6426,0.208,      MW
48308.645,0.214,      MW
48311.6411,0.21,      MW
48311.6426,0.213,      MW
48311.644,0.212,      MW
48638.6714,0.197,      MW
48638.6729,0.202,      MW
48638.6748,0.194,      MW
48643.6738,0.192,      MW
48643.6753,0.196,      MW
48643.6763,0.194,      MW
48646.7012,0.193,      MW
48646.7026,0.198,      MW
48646.7046,0.186,      MW
48649.6826,0.19,      MW
48649.6841,0.195,      MW
48649.6855,0.197,      MW
48653.6885,0.191,      MW
48653.6904,0.192,      MW
48653.6924,0.195,      MW
48656.6587,0.193,      MW
48656.6602,0.193,      MW
48656.6616,0.192,      MW
48694.6382,0.193,      MW
48694.6401,0.196,      MW
48694.6411,0.19,      MW
48911.9785,0.187,      MW
48911.98,0.188,      MW
48911.9814,0.191,      MW
48913.9736,0.189,      MW
48913.9751,0.192,      MW
48913.9766,0.189,      MW
48915.9761,0.188,      MW
48915.978,0.186,      MW
48915.9795,0.191,      MW
48927.9429,0.191,      MW
48927.9448,0.194,      MW
48927.9463,0.194,      MW
48933.917,0.188,      MW
48933.9185,0.19,      MW
48933.9199,0.188,      MW
48938.8906,0.187,      MW
48938.8921,0.185,      MW
48938.8931,0.183,      MW
48940.9019,0.188,      MW
48940.9028,0.188,      MW
48940.9048,0.186,      MW
48949.8945,0.188,      MW
48949.8955,0.19,      MW
48949.897,0.19,      MW
48957.8511,0.189,      MW
48957.8525,0.188,      MW
48957.854,0.19,      MW
48967.8462,0.187,      MW
48967.8477,0.182,      MW
48967.8486,0.186,      MW
48971.8564,0.187,      MW
48971.8579,0.189,      MW
48971.8594,0.183,      MW
48973.814,0.182,      MW
48973.8154,0.184,      MW
48973.8164,0.186,      MW
48976.8115,0.188,      MW
48976.813,0.187,      MW
48976.8145,0.189,      MW
48979.793,0.184,      MW
48979.7944,0.182,      MW
48979.7964,0.183,      MW
