BJD - 2454833,Corrected Flux,error
2478.335106593, 1.000285374,
2478.355538757, 1.000253418,
2478.375970822, 1.000227463,
2478.396403085, 1.000176717,
2478.416835248, 1.000145956,
2478.437267311, 1.000182015,
2478.457699573, 1.000147416,
2478.478131734, 1.000142061,
2478.498563896, 1.000104116,
2478.518996057, 1.000115005,
2478.539428217, 1.000122270,
2478.559860477, 1.000150919,
2478.580292536, 1.000120562,
2478.600724695, 1.000041581,
2478.621156853, 1.000205513,
2478.641589011, 1.000210774,
2478.662021168, 1.000112079,
2478.682453325, 1.000135412,
2478.702885482, 1.000243723,
2478.743749793, 1.000246833,
2478.764181948, 1.000183828,
2478.784614103, 1.000218737,
2478.805046357, 1.000138191,
2478.825478410, 1.000183629,
2478.845910563, 1.000216081,
2478.866342816, 1.000201182,
2478.886774868, 1.000189642,
2478.907207020, 1.000154704,
2478.927639271, 1.000068752,
2478.948071322, 1.000146430,
2478.988935722, 1.000243588,
2479.009367771, 1.000165453,
2479.029800020, 1.000152123,
2479.050232168, 1.000180314,
2479.070664216, 1.000142957,
2479.091096464, 1.000190465,
2479.111528610, 1.000163777,
2479.131960757, 1.000189986,
2479.152392903, 1.000251242,
2479.172825049, 1.000215500,
2479.193257193, 1.000235900,
2479.213689338, 1.000203516,
2479.234121482, 1.000215737,
2479.254553626, 1.000192908,
2479.274985869, 1.000098070,
2479.295417911, 1.000144699,
2479.315850054, 1.000147202,
2479.336282195, 1.000074231,
2479.356714337, 1.000134102,
2479.377146378, 1.000228504,
2479.397578618, 1.000216486,
2479.418010758, 1.000120734,
2479.438442797, 1.000032920,
2479.479307174, 1.000119600,
2479.561035823, 1.000082989,
2479.581467860, 1.000102480,
2479.601899995, 1.000144724,
2479.622332230, 1.000110686,
2479.642764365, 1.000132219,
2479.663196399, 1.000077361,
2479.683628633, 1.000144670,
2479.704060766, 1.000077075,
2479.724492799, 1.000050832,
2479.744925031, 1.000087822,
2479.765357163, 1.000203956,
2479.785789194, 1.000160706,
2479.806221425, 1.000157668,
2479.826653556, 1.000169875,
2479.847085586, 1.000118829,
2479.867517815, 1.000134742,
2479.887949944, 1.000191393,
2479.908381972, 1.000096083,
2479.928814201, 1.000014773,
2479.969678456, 1.000194287,
2479.990110582, 1.000141412,
2480.010542709, 1.000113201,
2480.030974934, 1.000073014,
2480.051406959, 1.000095538,
2480.071839084, 1.000116950,
2480.092271209, 1.000059067,
2480.112703332, 1.000118846,
2480.133135456, 1.000087013,
2480.153567679, 1.000108379,
2480.173999702, 1.000090111,
2480.194431824, 1.000146736,
2480.214864045, 1.000157668,
2480.235296066, 1.000131228,
2480.255728187, 1.000148971,
2480.276160407, 1.000208791,
